,replicates_count,train_replicate,repeat_no,time(min),R_train,R_validation,R_test_insample,R_test_independent,R_testHQ
62,k1,Virus1_KC_R1,2,3,0.7731689711417534,0.731771528180125,0.7377688378625926,"[0.7163151664950973, 0.7039410984978088, 0.7048492351113271, 0.654275811954608, 0.6567399281018007, 0.6501872061455548, 0.6627415730168588, 0.6431655590340373, 0.6372464483724611, 0.5560290430141708, 0.5219267469340926, 0.5256305060729282]",0.8968973908046413
63,k1,Virus1_KC_R1,3,2,0.7577837267630408,0.720408608946776,0.7337943260848353,"[0.7275325610029779, 0.7150560685371481, 0.7160414229429372, 0.6511542339377648, 0.6535201088554824, 0.6462919675943978, 0.6558125265979446, 0.6345360397198878, 0.6296229665186324, 0.5557626796442188, 0.520465120743294, 0.5253264232948335]",0.8940929326954283
64,k1,Virus1_KC_R1,4,3,0.7704368554818611,0.730815730694161,0.7282050195810761,"[0.7196492863818764, 0.7071127785978876, 0.7076235616562089, 0.6466875144343817, 0.650301118358837, 0.6425084763576954, 0.6540733437696798, 0.6332721645234297, 0.6276040870170078, 0.5531591056874782, 0.517910458952859, 0.5227497498624442]",0.8918491352375008
65,k1,Virus1_KC_R1,5,3,0.7700270553439569,0.7354098067315328,0.7338193388905837,"[0.7229457395910817, 0.7105632985877146, 0.7110848487315384, 0.6357078322124401, 0.6378671102839633, 0.6306055954265837, 0.6420992571941055, 0.6206722273594704, 0.6144883358375218, 0.548464619564319, 0.510570830072326, 0.5160652186273952]",0.8839099463373978
66,k1,Virus1_KC_R1,6,3,0.7687548949127954,0.734637213446827,0.7298635937332449,"[0.7187763302336444, 0.7055613728985954, 0.707020776330433, 0.6520093889111231, 0.6544878864645918, 0.6477654716523847, 0.6587987391431813, 0.6387297887482208, 0.6338572866421003, 0.5539032343054121, 0.5183885938697906, 0.5229793089420683]",0.8911311864164213
67,k1,Virus1_KC_R1,7,3,0.7720337017511015,0.7406852546041698,0.7455897930982107,"[0.7180362791839631, 0.7064102188023186, 0.7059849735275094, 0.6484066508363409, 0.6504610824712005, 0.643104717332832, 0.6573533512017773, 0.636518676965164, 0.6305766014405555, 0.5538647887631785, 0.5187713698716745, 0.521996370110349]",0.8936592264022885
68,k1,Virus1_KC_R1,8,3,0.7666205081509947,0.7320393936955405,0.7319908079463662,"[0.71591911361172, 0.7034549202364447, 0.7041644173303824, 0.6551634119616242, 0.6574213859971914, 0.650151168840343, 0.6640492493320462, 0.6438479752273286, 0.637902783777236, 0.5562131055302203, 0.5209131999687178, 0.5260821244307381]",0.9009351095534835
69,k1,Virus1_KC_R1,9,3,0.773785340706408,0.7394590204374067,0.729997921647273,"[0.7171131515361818, 0.7048181716875708, 0.7064644070104629, 0.6518743740637836, 0.6543127512674656, 0.6467382341096052, 0.6612673281060912, 0.6407822620317264, 0.6355718247702625, 0.5551463030075624, 0.5199073756987436, 0.5235282044260527]",0.8961097067744929
70,k1,Virus1_KC_R2,0,2,0.7732622021178689,0.7434227196776538,0.761063450006779,"[0.7131223321936849, 0.7002382591576245, 0.7013546314390466, 0.650724175199224, 0.6529093301964913, 0.6464669907984308, 0.6612190019181587, 0.640025622826372, 0.6343288375863047, 0.5560090425514913, 0.5194599991602189, 0.5243476227395564]",0.9013684614852239
71,k1,Virus1_KC_R2,1,3,0.7830438077039399,0.7472813938515863,0.7446014166322238,"[0.7253808179957818, 0.7128353673810879, 0.7139351825919193, 0.6536190949846505, 0.6564646100447128, 0.6487833440078892, 0.662994277789662, 0.641821160471545, 0.63742507410323, 0.5559238669823323, 0.5207102096805094, 0.5256333826734825]",0.8968241281834677
72,k1,Virus1_KC_R2,2,3,0.7851574644026388,0.7469432390570707,0.7484998777946258,"[0.7301876853912238, 0.7176588195633308, 0.7185619183232625, 0.6451897183038515, 0.6481223343496607, 0.6404368028849359, 0.6520313437944054, 0.630127184825406, 0.6239103301333496, 0.5537098743718523, 0.5164438663231179, 0.5217201976349691]",0.8945476560993653
73,k1,Virus1_KC_R2,3,3,0.7876626864380608,0.7490296937457365,0.752859270545194,"[0.7262441953075514, 0.7136108733361847, 0.7144604521126703, 0.6540579136162972, 0.6572674347739476, 0.6489682745547178, 0.6613050401287048, 0.6402099729524797, 0.6346798210570479, 0.5532304500300778, 0.5175573392072728, 0.523291494774961]",0.8981232308051894
74,k1,Virus1_KC_R2,4,3,0.7825101264380997,0.7443436505985792,0.7559988889327124,"[0.7215203385681788, 0.7086849707686267, 0.7096899408279909, 0.6571708089598975, 0.6600746767132513, 0.6528017265998367, 0.6666933490951626, 0.6456494456021095, 0.6411121457632776, 0.5548290400275563, 0.5214062380401865, 0.525644252531944]",0.903312385520432
75,k1,Virus1_KC_R2,5,17,0.7877240403649615,0.7512323445899661,0.7424251705730674,"[0.7233243006142197, 0.7106934978663545, 0.7110322145972868, 0.6483102800944103, 0.6502779934271774, 0.6430899296043815, 0.6567445148511506, 0.6345075312826836, 0.6294299239461977, 0.5565257166204209, 0.5199825671465639, 0.5245020142771858]",0.8981015825152879
76,k1,Virus1_KC_R2,6,3,0.795190569015982,0.7566330090815634,0.7456769479577926,"[0.7212083081592784, 0.7076534194629264, 0.7089280258660934, 0.6440204449552775, 0.6481852030065466, 0.6392347354516739, 0.652870092599663, 0.6322227217668902, 0.6256867201959821, 0.5508820038579656, 0.5153714723722796, 0.5191493894246999]",0.895919342395065
77,k1,Virus1_KC_R2,7,3,0.7883727640987745,0.756495978968223,0.7560046007413955,"[0.7281964702562564, 0.7154108222926419, 0.716443425981214, 0.6486503193876106, 0.6513383510337294, 0.643930280181796, 0.6562373770716979, 0.6345256192701633, 0.6287239067086825, 0.555871035236037, 0.5203100006300809, 0.524276688608679]",0.8968750132419384
