n_features,n_samples,corr_Ytrue_Ynoisy1,corr_Ytrue_Ynoisy2,corr_Ynoisy1_Ynoisy2,corr_Yavg12_Ytrue,var_Ynoisy1,var_Ynoisy2,corr_pred_Ytrue,corr_pred_Ynoisy1,corr_pred_Ynoisy2,corr_pred_YnoisyLow,corr_pred_YnoisyHigh,var_Ypred,cov_Ynoisy1_Ynoisy2,cov_pred_Ynoisy1
213,42600,0.9267659453379068,0.47492896044265775,0.4394951305664352,0.7253432054170019,0.2113136036067247,0.8086058097477306,0.894770696118951,0.8327963900695823,0.4477277589033069,0.8469011102587298,0.49090934937535163,0.18608057,0.18167658927314329,0.17155642288810694
139,27800,0.88075846322422,0.5037266492112678,0.4478020723185624,0.7436092509805332,0.17084891691473583,0.5164599641840841,0.9155567116725,0.82039458269618,0.47137054364965636,0.6820597220820127,0.4727278359779628,0.14496484,0.13302402134104166,0.13309767496828825
298,59600,0.9999043534085825,0.9910930960673503,0.9910070657077421,0.9977230955554076,0.16156508620128848,0.1647078658022159,0.8875212658548229,0.8875388358149263,0.8785992492420186,0.8749658058102763,0.4750651466379036,0.13042165,0.16166529081023212,0.1277985984474769
490,98000,0.8710926438523334,0.9727191850188572,0.8470388032652575,0.956350422355819,0.1856582254747719,0.14957003670133912,0.8576170766269106,0.734729826073574,0.8313532589171639,0.8276822644876163,0.4130181735149721,0.11016001,0.1411523923320392,0.10105429636096254
223,44600,0.6052758014328589,0.6292174274936212,0.3825082025972976,0.7421317308885703,0.5192118314622272,0.48714846692972524,0.7888823480876854,0.47768813112627634,0.4874167238116721,0.5934202823457151,0.3715863478161261,0.18568791,0.1923782124617143,0.14702072512502154
461,92200,0.6130147460683774,0.8466929973857241,0.5204763206657215,0.8127540613693838,0.38116238750973197,0.20176147035808198,0.7891907039528542,0.5101224496611756,0.6784239466079366,0.6342455342045448,0.49569811427751204,0.14803764,0.14433810534587826,0.12345539583711887
79,15800,0.4958925268127725,0.93387474981323,0.4610062211110045,0.7473300270857981,0.40338049919990454,0.11708145181525646,0.7540726781969209,0.36524626496235385,0.698651437373386,0.6778580223831107,0.35091765933377284,0.12218181,0.10019421459320688,0.08207682182728239
178,35600,0.6221811758376995,0.6387055693668662,0.3983806471414185,0.7539054948189068,0.3039135832585048,0.29777428617565527,0.7485163479210822,0.48010299105360094,0.48810536981154146,0.580142040405112,0.4895777030492264,0.12000369,0.11984837055157399,0.0912881789861222
412,82400,0.7390016444746855,0.46142671015599945,0.34164609526841133,0.6844447056533735,0.2493107529072821,0.6425667913659112,0.7938337594550302,0.5883824809121562,0.37301516803823465,0.7922860552407248,0.3720630649231423,0.11003703,0.13674538972301248,0.09745963971063686
76,15200,0.4553873464699367,0.5117499137325174,0.22767464966789014,0.6137402785088222,0.3338768363773955,0.25214999132464244,0.713398471439748,0.28743195748000416,0.3344853343355726,0.6190687415620898,0.43494387358038633,0.09440326,0.06606524001152107,0.049447642908274844
135,27000,0.5829307365825922,0.48871309080781544,0.2837300020104414,0.6626368004773748,0.562442224256036,0.7850040653996784,0.7748777336550435,0.4716179347477384,0.3680579997943013,0.5748403027691374,0.5453055299573335,0.20821081,0.1885386006102965,0.16394391829644808
225,45000,0.47275934294515415,0.8835306745142683,0.41690698524152153,0.7188810741235954,1.1991084459169072,0.34577871921032094,0.7264453222549567,0.3439299932416378,0.640120741940131,0.6912695417719976,0.34501582373928075,0.3030773,0.2684600070669163,0.20937562908608146
112,22400,0.9141787252193675,0.4561646653624963,0.41957677466309967,0.7081581208537645,0.15811523638961367,0.6216573043826409,0.875627422847044,0.7802434769657578,0.385167499507828,0.873177884274808,0.5527453061480587,0.09955347,0.1315521824176267,0.08960533180973197
